id,name,start_date,end_date,replaces,replaced_by
Q333963,"William Whitelaw, 1st Viscount Whitelaw",1983-06-11,1988-01-10,Q335926,Q335713
Q335713,"John Ganzoni, 2nd Baron Belstead",1988-01-10,1990-11-28,Q333963,Q334565
Q334565,"David Waddington, Baron Waddington",1990-11-28,1992-04-11,Q335713,Q334298
Q334298,"John Wakeham, Baron Wakeham",1992-04-11,1994-07-20,Q334565,Q335589
Q335589,"Robert Gascoyne-Cecil, 7th Marquess of Salisbury",1994-07-20,1997-05-02,Q334298,Q333309
Q333309,"Ivor Richard, Baron Richard",1997-05-02,1998-07-27,Q335589,Q336162
Q336162,"Margaret Jay, Baroness Jay of Paddington",1998-07-27,2001-06-08,Q333309,Q325417
Q325417,"Gareth Williams, Baron Williams of Mostyn",2001-06-08,2003-09-20,Q336162,Q335698
Q335698,"Valerie Amos, Baroness Amos",2003-10-06,2007-06-27,Q325417,Q105667
Q105667,Catherine Ashton,2007-06-27,2008-10-02,Q335698,Q336236
Q336236,"Janet Royall, Baroness Royall of Blaisdon",2008-10-02,2010-05-11,Q105667,Q335576
Q335576,"Thomas Galbraith, 2nd Baron Strathclyde",2010-05-12,2013-01-07,Q336236,Q1703194
Q1703194,"Jonathan Hill, Baron Hill of Oareford",2013-01-07,2014-07-15,Q335576,Q2435579
Q2435579,"Tina Stowell, Baroness Stowell of Beeston",2014-07-15,2016-07-14,Q1703194,Q18210190
Q18210190,"Natalie Evans, Baroness Evans of Bowes Park",2016-07-14,,Q2435579,
